reference,modification,filename,spl_db,loudness_sone,sharpness_acum,roughness_asper,sii
adult_female_speech,am70_d05,adult_female_speech__am70_d05.wav,70.52925050804623,20.2,1.4279410687970777,1.2802554965315889,0.031488390143086485
adult_female_speech,am70_d10,adult_female_speech__am70_d10.wav,71.78905746577924,21.95,1.4256897571276324,2.7868803772582247,0.019790741123670248
adult_female_speech,baseline,adult_female_speech__baseline.wav,70.00000188211172,19.5,1.4258084546152479,0.45453955684236597,0.036831249957788956
adult_female_speech,level_m3,adult_female_speech__level_m3.wav,66.99999948771323,16.09,1.4193834845996967,0.4179021206697457,0.07544828149603601
adult_female_speech,level_m6,adult_female_speech__level_m6.wav,64.00000539645157,13.202,1.4057188157990732,0.3808559334985282,0.14584288566603254
adult_female_speech,level_p3,adult_female_speech__level_p3.wav,73.00000332648713,23.59,1.4301587375102018,0.4908387787247802,0.011658278397125448
adult_female_speech,level_p6,adult_female_speech__level_p6.wav,76.00000236095595,28.49,1.4360996861655009,0.5259807864300673,0.00028419797139210914
adult_female_speech,lp_1kHz,adult_female_speech__lp_1kHz.wav,69.49852884226152,11.038,0.5749904802184943,0.17421409359833184,0.5784869502996125
adult_female_speech,lp_2kHz,adult_female_speech__lp_2kHz.wav,69.81668275087932,14.732,0.7739877085760537,0.3312117354186888,0.27990363233121157
adult_female_speech,lp_4kHz,adult_female_speech__lp_4kHz.wav,69.94859870973869,17.47,0.9902345876438823,0.4161355031231378,0.08257689349461311
livelypublicgarden,am70_d05,livelypublicgarden__am70_d05.wav,70.51659415606522,22.26,1.3695229886579385,0.5799761645582932,0.01094573214371064
livelypublicgarden,am70_d10,livelypublicgarden__am70_d10.wav,71.75252826497696,24.08,1.3695615053728782,2.3053200368399946,0.0033316029755692334
livelypublicgarden,baseline,livelypublicgarden__baseline.wav,70.00000294642889,21.55,1.3688025343924655,0.0812889897305282,0.015939194650086044
livelypublicgarden,level_m3,livelypublicgarden__level_m3.wav,66.99999978032535,17.79,1.3667392534985867,0.07698623993643898,0.04984211786109015
livelypublicgarden,level_m6,livelypublicgarden__level_m6.wav,64.00000238969582,14.613,1.3599315321182166,0.07306335120934804,0.096196575192493
livelypublicgarden,level_p3,livelypublicgarden__level_p3.wav,73.0000014451134,26.05,1.3692239823105112,0.08647469507345734,0.0011077362654433025
livelypublicgarden,level_p6,livelypublicgarden__level_p6.wav,76.0000037084386,31.38,1.3723111755112054,0.09176701641371797,0.0
livelypublicgarden,lp_1kHz,livelypublicgarden__lp_1kHz.wav,68.71673257101111,10.786,0.5521099326249909,0.07391765461524162,0.5344585846316755
livelypublicgarden,lp_2kHz,livelypublicgarden__lp_2kHz.wav,69.31191858049503,15.548,0.8147747240927228,0.08359471884086649,0.20302070132427713
livelypublicgarden,lp_4kHz,livelypublicgarden__lp_4kHz.wav,69.92203768479898,19.86,1.0994741858359292,0.08410954429351239,0.02727359542107946
pink_noise,am70_d05,pink_noise__am70_d05.wav,70.57350408807888,21.89,1.997699075922915,0.477868847609443,0.03373213223855006
pink_noise,am70_d10,pink_noise__am70_d10.wav,71.85726606015666,23.88,1.9809247265936738,2.3012456430730355,0.01859649669235881
pink_noise,baseline,pink_noise__baseline.wav,70.00069217838934,21.05,2.0120312434620407,0.030075731084047756,0.041522282022309204
pink_noise,level_m3,pink_noise__level_m3.wav,67.0016744952442,17.36,2.011443613315536,0.02997934303971374,0.08921575155189121
pink_noise,level_m6,pink_noise__level_m6.wav,64.00208298606964,14.245,2.0223223527996446,0.02981415041811225,0.14561083025401766
pink_noise,level_p3,pink_noise__level_p3.wav,73.00118528583583,25.46,2.0091617421513748,0.032074363460612605,0.008097171516885724
pink_noise,level_p6,pink_noise__level_p6.wav,76.00103972125046,30.69,2.0072559673481685,0.03362955273045553,0.0
pink_noise,lp_1kHz,pink_noise__lp_1kHz.wav,68.39536645617125,8.44,0.5644656269482171,0.0307114730751784,0.5984765563746811
pink_noise,lp_2kHz,pink_noise__lp_2kHz.wav,68.79195018004795,12.364,0.8252497310997041,0.03155725734739743,0.25881978790134863
pink_noise,lp_4kHz,pink_noise__lp_4kHz.wav,69.15072981926284,17.11,1.234640848095607,0.03214717005334905,0.046537421018144356
refrigerator,am70_d05,refrigerator__am70_d05.wav,70.48667667966315,14.38,1.0383638621238156,0.4096316200291456,0.177632606801039
refrigerator,am70_d10,refrigerator__am70_d10.wav,71.71920597217222,15.683,1.046736791793731,1.9229371444936834,0.1494562479609869
refrigerator,baseline,refrigerator__baseline.wav,70.00000326724614,13.849,1.0368923086184072,0.04101992121235236,0.19132555087239778
refrigerator,level_m3,refrigerator__level_m3.wav,66.99999568981995,11.265,1.020669971312708,0.03668272437673169,0.26221687146837747
refrigerator,level_m6,refrigerator__level_m6.wav,64.00000819334066,9.14,1.0054287741253096,0.03242763609131099,0.34933746485472095
refrigerator,level_p3,refrigerator__level_p3.wav,73.0000035320528,16.92,1.0564766689369252,0.04567089334022038,0.12127072348960968
refrigerator,level_p6,refrigerator__level_p6.wav,76.00000259987158,20.6,1.0678584035668552,0.05057644390240419,0.06859042282848685
refrigerator,lp_1kHz,refrigerator__lp_1kHz.wav,69.9554669404405,9.507,0.45788368096713133,0.03475220100609065,0.6503376952227048
refrigerator,lp_2kHz,refrigerator__lp_2kHz.wav,69.97965493872958,10.889,0.5708795480324163,0.036092467342926884,0.5056046911654531
refrigerator,lp_4kHz,refrigerator__lp_4kHz.wav,69.99120472587161,13.095,0.8652652684159298,0.04574879414224318,0.24874841604806
refrigerator,tone_62_20dB,refrigerator__tone_62_20dB.wav,69.31910345038753,13.634,1.0523960025079033,0.03778046762163613,0.191325019325377
refrigerator,tone_62_40dB,refrigerator__tone_62_40dB.wav,69.30988582067303,13.63,1.0526959196115808,0.03778476968020848,0.19132485727356868
